Description,UnitsSold,Revenue,Orders,Customers,UnitsPerOrder
"DECOUPAGE,GREETING CARD,",357,158.63,32,17,11.15625
DELUXE SEWING KIT ,1412,9898.95,328,157,4.304878048780488
DENIM PATCH PURSE PINK BUTTERFLY,216,357.28999999999996,61,26,3.540983606557377
DIAMANTE BOW BROOCH BLACK COLOUR,10,64.38,5,4,2.0
DIAMANTE BOW BROOCH GREEN COLOUR,30,193.2,18,8,1.6666666666666667
DIAMANTE BOW BROOCH RED COLOUR,27,171.45,10,8,2.7
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,16,26.52,10,3,1.6
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,45,74.53,27,1,1.6666666666666667
DIAMANTE HAIR GRIP PACK/2 LT ROSE,21,34.69,14,3,1.5
DIAMANTE HAIR GRIP PACK/2 MONTANA,15,24.79,10,3,1.5
DIAMANTE HAIR GRIP PACK/2 PERIDOT,25,41.449999999999996,19,1,1.3157894736842106
DIAMANTE HAIR GRIP PACK/2 RUBY,25,41.37,15,3,1.6666666666666667
"DIAMANTE HEART SHAPED WALL MIRROR, ",415,3328.2,146,27,2.8424657534246576
DIAMANTE NECKLACE,3,23.32,2,1,1.5
DIAMANTE NECKLACE BLACK ,4,30.12,3,1,1.3333333333333333
DIAMANTE NECKLACE GREEN,4,29.98,3,2,1.3333333333333333
DIAMANTE NECKLACE PURPLE,7,52.5,4,4,1.75
DIAMANTE RING ASSORTED IN BOX.,1008,1311.3600000000001,22,21,45.81818181818182
DIAMOND LAS VEGAS NECKLACE 45CM,12,70.97,8,3,1.5
DINOSAUR HEIGHT CHART STICKER SET,182,568.98,46,32,3.9565217391304346
DINOSAUR KEYRINGS ASSORTED,6873,1483.4199999999998,177,104,38.83050847457627
DINOSAUR LUNCH BOX WITH CUTLERY,1281,3127.38,213,116,6.014084507042254
DINOSAUR PARTY BAG + STICKER SET,707,1160.7099999999998,101,77,7.0
DINOSAURS  WRITING SET ,944,1728.6399999999999,287,120,3.289198606271777
DISCO BALL CHRISTMAS DECORATION,12979,1512.92,215,111,60.367441860465114
DISCO BALL ROTATOR BATTERY OPERATED,249,1055.25,105,57,2.3714285714285714
DO NOT TOUCH MY STUFF DOOR HANGER ,1201,684.62,127,86,9.456692913385826
DOCTOR'S BAG SOFT TOY,184,1765.3999999999999,72,46,2.5555555555555554
DOG AND BALL WALL ART,252,425.87999999999994,4,3,63.0
DOG BOWL CHASING BALL DESIGN,1368,5389.0199999999995,131,85,10.442748091603054
DOG BOWL VINTAGE CREAM,390,1757.8799999999999,125,83,3.12
DOG LICENCE WALL ART,408,2081.64,29,28,14.068965517241379
DOG TOY WITH PINK CROCHET SKIRT,189,717.21,90,60,2.1
DOGGY RUBBER,193,40.53,29,25,6.655172413793103
DOILEY BISCUIT TIN,120,327.6,13,13,9.23076923076923
DOILEY STORAGE TIN,1094,3004.46,122,93,8.967213114754099
DOILY THANK YOU CARD,765,323.32,57,41,13.421052631578947
DOLLCRAFT BOY JEAN-PAUL ,82,373.9,12,12,6.833333333333333
DOLLCRAFT GIRL AMELIE,36,178.2,8,8,4.5
DOLLCRAFT GIRL AMELIE KIT,66,294.7,8,8,8.25
DOLLCRAFT GIRL NICOLE,68,336.6,12,12,5.666666666666667
DOLLY CABINET 2 DRAWERS ,33,412.5,19,19,1.736842105263158
DOLLY CABINET 3 DRAWERS ,51,762.4499999999999,30,30,1.7
DOLLY GIRL BABY GIFT SET,435,6753.509999999999,133,99,3.2706766917293235
DOLLY GIRL CHILDRENS BOWL,1622,2013.7,191,111,8.492146596858639
DOLLY GIRL CHILDRENS CUP,1635,2060.28,195,104,8.384615384615385
DOLLY GIRL CHILDRENS EGG CUP,951,1253.86,135,98,7.044444444444444
DOLLY GIRL LUNCH BOX,11793,21635.14,850,287,13.874117647058824
DOLLY GIRL MINI BACKPACK,743,3008.9900000000002,161,116,4.614906832298137
DOLLY GIRL MINI RUCKSACK,8,33.2,2,2,4.0
DOLLY GIRL WALL ART,318,1055.94,11,10,28.90909090909091
DOLLY HONEYCOMB GARLAND,475,487.11,25,20,19.0
DOLLY MIXTURE CHILDREN'S UMBRELLA,270,932.42,77,51,3.5064935064935066
DOLPHIN WINDMILL,1,2.12,1,1,1.0
DONKEY TAIL GAME ,54,189.54000000000002,4,4,13.5
DOOR HANGER  MUM + DADS ROOM,205,330.71999999999997,66,45,3.106060606060606
DOORKNOB CERAMIC IVORY,36,52.199999999999996,1,1,36.0
DOORKNOB CRACKED GLAZE BLUE,162,238.49999999999997,3,3,54.0
DOORKNOB CRACKED GLAZE GREEN,12,19.799999999999997,2,2,6.0
DOORKNOB CRACKED GLAZE IVORY,180,268.2,5,5,36.0
DOORKNOB CRACKED GLAZE PINK,12,19.799999999999997,2,2,6.0
DOORMAT 3 SMILEY CATS,1175,7732.929999999999,233,111,5.042918454935623
DOORMAT AIRMAIL ,800,6034.9,220,104,3.6363636363636362
DOORMAT BLACK FLOCK ,1817,10278.06,195,105,9.317948717948719
DOORMAT CHRISTMAS VILLAGE,590,3354.22,52,30,11.346153846153847
DOORMAT ENGLISH ROSE ,2038,14324.0,407,227,5.007371007371007
DOORMAT FAIRY CAKE,3617,23888.81,365,143,9.90958904109589
DOORMAT FANCY FONT HOME SWEET HOME,3246,21601.69,502,203,6.46613545816733
DOORMAT FRIENDSHIP ,27,451.10999999999996,17,0,1.588235294117647
DOORMAT HEARTS,3419,22138.57,592,286,5.775337837837838
DOORMAT HOME SWEET HOME BLUE ,1621,9959.6,285,198,5.687719298245614
DOORMAT I LOVE LONDON,364,2678.96,102,56,3.5686274509803924
DOORMAT KEEP CALM AND COME IN,5491,38166.64,728,378,7.542582417582418
DOORMAT MERRY CHRISTMAS RED ,673,5176.25,146,94,4.609589041095891
DOORMAT MULTICOLOUR STRIPE,1492,9088.63,201,88,7.422885572139304
DOORMAT NEIGHBOURHOOD WITCH ,279,2038.39,95,37,2.9368421052631577
DOORMAT NEW ENGLAND,3830,24292.84,600,314,6.383333333333334
DOORMAT PEACE ON EARTH BLUE,705,3519.6600000000003,32,26,22.03125
DOORMAT RED RETROSPOT,4092,28082.54,696,329,5.879310344827586
DOORMAT RESPECTABLE HOUSE,790,5762.28,179,83,4.41340782122905
DOORMAT SPOTTY HOME SWEET HOME,1757,13612.41,480,251,3.660416666666667
DOORMAT TOPIARY,904,6009.84,205,125,4.409756097560976
DOORMAT UNION FLAG,3762,25609.6,616,313,6.107142857142857
DOORMAT UNION JACK GUNS AND ROSES,1230,7597.02,206,108,5.970873786407767
DOORMAT VINTAGE LEAF,564,4122.2,142,100,3.971830985915493
DOORMAT VINTAGE LEAVES DESIGN ,430,2881.18,91,75,4.725274725274725
DOORMAT WELCOME PUPPIES,2065,12114.97,287,163,7.195121951219512
DOORMAT WELCOME SUNRISE,372,2686.7200000000003,120,65,3.1
DOORMAT WELCOME TO OUR HOME,1524,11555.56,443,231,3.440180586907449
DOORSTOP FOOTBALL DESIGN,153,543.65,67,37,2.283582089552239
DOORSTOP RACING CAR DESIGN,123,273.46,37,28,3.324324324324324
DOORSTOP RETROSPOT HEART,1599,6544.63,296,177,5.402027027027027
DOTCOMGIFTSHOP TEA TOWEL,13,23.089999999999996,2,1,6.5
DOUBLE CERAMIC PARLOUR HOOK,22,91.30000000000001,5,5,4.4
DOUGHNUT LIP GLOSS ,10415,13720.77,344,217,30.276162790697676
DOVE DECORATION PAINTED ZINC ,2383,754.4100000000001,79,47,30.164556962025316
DRAGONS BLOOD INCENSE,423,104.44,39,12,10.846153846153847
DRAWER KNOB CERAMIC BLACK,991,1466.07,88,57,11.261363636363637
DRAWER KNOB CERAMIC IVORY,2173,3173.89,190,110,11.436842105263159
DRAWER KNOB CERAMIC RED,720,1067.6,74,42,9.72972972972973
DRAWER KNOB CRACKLE GLAZE BLUE,1213,2148.5299999999997,134,87,9.052238805970148
DRAWER KNOB CRACKLE GLAZE GREEN,1340,2284.12,154,97,8.7012987012987
DRAWER KNOB CRACKLE GLAZE IVORY,2162,3608.5799999999995,194,115,11.144329896907216
DRAWER KNOB CRACKLE GLAZE PINK,1284,2162.2,153,93,8.392156862745098
DRAWER KNOB VINTAGE GLASS BALL,350,760.8000000000001,54,40,6.481481481481482
DRAWER KNOB VINTAGE GLASS HEXAGON,295,627.95,30,26,9.833333333333334
DRAWER KNOB VINTAGE GLASS STAR,557,1201.04,62,43,8.983870967741936
DROP DIAMANTE EARRINGS BLACK DIAMON,14,41.010000000000005,7,2,2.0
DROP DIAMANTE EARRINGS CRYSTAL,26,76.23,14,3,1.8571428571428572
DROP DIAMANTE EARRINGS GREEN,14,41.080000000000005,9,1,1.5555555555555556
DROP DIAMANTE EARRINGS PURPLE,25,73.53,14,5,1.7857142857142858
DROP EARRINGS W FLOWER & LEAF,10,25.13,7,2,1.4285714285714286
DUSTY PINK CHRISTMAS TREE 30CM,1,1.25,1,1,1.0
DUSTY PINK CHRISTMAS TREE 60CM,9,26.550000000000004,2,2,4.5
Dad's Cab Electronic Meter,2,16.94,2,0,1.0
Dotcomgiftshop Gift Voucher £10.00,9,74.97,8,0,1.125
Dotcomgiftshop Gift Voucher £100.00,1,83.33,1,0,1.0
Dotcomgiftshop Gift Voucher £20.00,10,167.05,9,0,1.1111111111111112
Dotcomgiftshop Gift Voucher £30.00,7,175.53,7,0,1.0
Dotcomgiftshop Gift Voucher £40.00,3,100.69999999999999,3,0,1.0
Dotcomgiftshop Gift Voucher £50.00,4,167.56,4,0,1.0
Dr. Jam's Arouzer Stress Ball,2,8.34,2,0,1.0
EASTER BUNNY GARLAND OF FLOWERS,615,293.8,79,35,7.784810126582278
EASTER BUNNY HANGING GARLAND,68,133.23,23,9,2.9565217391304346
EASTER BUNNY WITH BASKET ON BACK,108,72.63,20,13,5.4
EASTER BUNNY WREATH,28,138.6,10,10,2.8
EASTER CRAFT 4 CHICKS ,1939,3929.15,186,148,10.424731182795698
EASTER CRAFT IVY WREATH WITH CHICK,1,1.95,1,1,1.0
EASTER DECORATION EGG BUNNY ,836,673.17,83,67,10.072289156626505
EASTER DECORATION HANGING BUNNY,1888,596.5,92,69,20.52173913043478
EASTER DECORATION NATURAL CHICK,540,366.15000000000003,64,42,8.4375
EASTER DECORATION SITTING BUNNY,531,454.5,75,44,7.08
EASTER TIN BUCKET,408,946.93,41,34,9.951219512195122
EASTER TIN BUNNY BOUQUET,1209,2012.9699999999998,158,111,7.651898734177215
EASTER TIN CHICKS IN GARDEN,305,522.93,50,36,6.1
EASTER TIN CHICKS PINK DAISY,598,1032.62,107,82,5.588785046728972
EASTER TIN KEEPSAKE,1129,1865.7299999999998,136,103,8.301470588235293
EASTER TREE YELLOW BIRDS,132,935.39,63,35,2.0952380952380953
EAU DE NIL LOVE BIRD CANDLE,429,452.86,46,14,9.326086956521738
EAU DE NILE HEART SHAPE PHOTO FRAME,331,558.42,38,20,8.710526315789474
EAU DE NILE JEWELLED PHOTOFRAME,298,525.0,22,18,13.545454545454545
EAU DE NILE JEWELLED T-LIGHT HOLDER,79,70.27,11,9,7.181818181818182
ECONOMY HOLIDAY PURSE,30,41.53,17,4,1.7647058823529411
ECONOMY LUGGAGE TAG,159,248.09,62,18,2.564516129032258
EDWARDIAN DROP EARRINGS JET BLACK,24,90.2,20,4,1.2
EDWARDIAN HEART PHOTO FRAME,160,709.5400000000001,44,29,3.6363636363636362
EDWARDIAN PARASOL BLACK,2931,16915.72,383,142,7.652741514360313
EDWARDIAN PARASOL NATURAL,4081,23761.77,540,184,7.557407407407408
EDWARDIAN PARASOL PINK,811,4779.3,170,87,4.770588235294118
EDWARDIAN PARASOL RED,1710,10021.42,326,141,5.245398773006135
EDWARDIAN PHOTO FRAME,90,568.71,32,27,2.8125
EGG CUP HENRIETTA HEN CREAM ,630,787.52,48,24,13.125
EGG CUP HENRIETTA HEN PINK,211,291.58,37,15,5.702702702702703
EGG CUP MILKMAID HEIDI,883,1159.43,83,44,10.63855421686747
EGG CUP MILKMAID HELGA ,410,586.31,63,28,6.507936507936508
EGG CUP MILKMAID INGRID,644,841.31,76,39,8.473684210526315
EGG CUP NATURAL CHICKEN,933,622.74,125,62,7.464
EGG FRYING PAN BLUE ,175,405.0,76,43,2.3026315789473686
EGG FRYING PAN IVORY ,378,792.86,96,62,3.9375
EGG FRYING PAN MINT ,180,388.75,69,49,2.608695652173913
EGG FRYING PAN PINK ,226,521.33,85,46,2.6588235294117646
EGG FRYING PAN RED ,431,915.4000000000001,109,62,3.9541284403669725
EIGHT PIECE CREEPY CRAWLIE SET,6,7.5,3,3,2.0
EIGHT PIECE DINOSAUR SET,126,186.43,35,16,3.6
EIGHT PIECE SNAKE  SET,333,439.54,84,53,3.9642857142857144
ELEPHANT BIRTHDAY CARD ,1122,479.82,95,63,11.810526315789474
ELEPHANT CARNIVAL POUFFE,63,1299.83,47,14,1.3404255319148937
ELEPHANT CLIP W SUCTION CUP,16,6.72,4,4,4.0
"ELEPHANT, BIRTHDAY CARD, ",2210,945.46,167,95,13.233532934131736
ELVIS WALLHANGING / CURTAIN,52,69.84,8,5,6.5
EMBOSSED GLASS TEALIGHT HOLDER,2559,3289.75,211,118,12.127962085308058
EMBOSSED HEART TRINKET BOX,250,555.59,48,32,5.208333333333333
EMBROIDERED RIBBON REEL CLAIRE,224,792.31,24,18,9.333333333333334
EMBROIDERED RIBBON REEL DAISY ,579,1164.98,71,58,8.154929577464788
EMBROIDERED RIBBON REEL EMILY ,573,1256.17,98,83,5.846938775510204
EMBROIDERED RIBBON REEL RACHEL ,362,983.3000000000001,44,40,8.227272727272727
EMBROIDERED RIBBON REEL REBECCA ,334,996.38,63,50,5.301587301587301
EMBROIDERED RIBBON REEL ROSIE,501,977.3199999999999,57,46,8.789473684210526
EMBROIDERED RIBBON REEL RUBY ,168,604.3,32,30,5.25
EMBROIDERED RIBBON REEL SALLY ,478,977.39,74,57,6.45945945945946
EMBROIDERED RIBBON REEL SOPHIE  ,297,1062.35,42,39,7.071428571428571
EMBROIDERED RIBBON REEL SUSIE ,566,1114.26,70,59,8.085714285714285
EMERGENCY FIRST AID TIN ,1089,1573.52,245,79,4.444897959183673
EMPIRE BIRTHDAY CARD,1218,543.76,146,71,8.342465753424657
EMPIRE DESIGN ROSETTE,4244,3606.4199999999996,28,23,151.57142857142858
EMPIRE GIFT WRAP,3425,1394.5,106,93,32.31132075471698
EMPIRE TISSUE BOX,1991,1033.22,167,97,11.922155688622755
EMPIRE UNION JACK TV DINNER TRAY,881,2844.16,125,61,7.048
ENAMEL BLUE RIM BISCUIT BIN,103,530.49,44,27,2.340909090909091
ENAMEL BLUE RIM TEA CONTAINER,8,9.18,3,3,2.6666666666666665
ENAMEL BOWL PANTRY,24,30.0,2,2,12.0
ENAMEL BREAD BIN CREAM,875,12383.83,454,189,1.9273127753303965
ENAMEL COLANDER CREAM,460,2346.1200000000003,166,110,2.7710843373493974
ENAMEL DINNER PLATE PANTRY,12,19.799999999999997,1,1,12.0
ENAMEL FIRE BUCKET CREAM,246,1854.76,114,75,2.1578947368421053
ENAMEL FLOWER JUG CREAM,2110,12671.060000000001,506,311,4.169960474308301
ENAMEL JUG PANTRY,8,30.0,2,2,4.0
ENAMEL MEASURING JUG CREAM,1272,5549.68,376,227,3.382978723404255
ENAMEL MUG PANTRY,12,15.0,1,1,12.0
ENAMEL PINK TEA CONTAINER,430,526.22,71,37,6.056338028169014
ENAMEL WASH BOWL CREAM,743,2858.96,208,104,3.5721153846153846
ENAMEL WATERING CAN CREAM,622,3266.09,195,131,3.18974358974359
ENCHANTED BIRD COATHANGER 5 HOOK,834,3978.9700000000003,241,125,3.4605809128630707
ENCHANTED BIRD PLANT CAGE,187,644.47,48,33,3.8958333333333335
ENGLISH ROSE GARDEN SECATEURS,2019,2049.45,212,141,9.523584905660377
ENGLISH ROSE HOT WATER BOTTLE,1614,7330.7,375,198,4.304
ENGLISH ROSE METAL WASTE BIN,20,59.0,11,10,1.8181818181818181
ENGLISH ROSE NOTEBOOK A6 SIZE,399,186.56,21,19,19.0
ENGLISH ROSE NOTEBOOK A7 SIZE,3152,1420.96,345,140,9.13623188405797
ENGLISH ROSE SCENTED HANGING FLOWER,549,665.95,114,36,4.815789473684211
ENGLISH ROSE SCENTED HANGING HEART,4,17.0,2,2,2.0
ENGLISH ROSE SMALL SCENTED FLOWER,219,202.53,45,26,4.866666666666666
ENGLISH ROSE SPIRIT LEVEL ,978,964.38,118,68,8.288135593220339
ENVELOPE 50 BLOSSOM IMAGES,1077,600.29,158,65,6.8164556962025316
ENVELOPE 50 CURIOUS IMAGES,50,27.02,10,10,5.0
ENVELOPE 50 ROMANTIC IMAGES,16,13.58,8,2,2.0
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5884,395.61,30,15,196.13333333333333
ETCHED GLASS COASTER,1618,825.49,71,46,22.788732394366196
ETCHED GLASS STAR TREE DECORATION,1,1.25,1,0,1.0
EUCALYPTUS & PINECONE  WREATH,378,1511.2600000000002,77,35,4.909090909090909
FAIRY CAKE BIRTHDAY CANDLE SET,440,1622.24,92,75,4.782608695652174
FAIRY CAKE DESIGN UMBRELLA,454,1832.42,134,68,3.388059701492537
FAIRY CAKE FLANNEL ASSORTED COLOUR,10253,18069.280000000002,262,160,39.13358778625954
FAIRY CAKE NOTEBOOK A5 SIZE,55,54.04,12,5,4.583333333333333
FAIRY CAKES NOTEBOOK A6 SIZE,1332,850.2,155,80,8.593548387096774
FAIRY CAKES NOTEBOOK A7 SIZE,2107,892.19,179,74,11.77094972067039
FAIRY DREAMS INCENSE ,1264,313.31,101,25,12.514851485148515
FAIRY SOAP SOAP HOLDER,266,478.83,76,41,3.5
FAIRY TALE COTTAGE NIGHT LIGHT,977,1981.29,115,74,8.495652173913044
FAIRY TALE COTTAGE NIGHTLIGHT,2093,3626.45,94,51,22.26595744680851
FAMILY ALBUM WHITE PICTURE FRAME,1198,10354.26,372,165,3.2204301075268815
FAMILY PHOTO FRAME CORNICE,868,8268.539999999999,260,184,3.3384615384615386
FAN BLACK FRAME ,143,41.47,12,11,11.916666666666666
"FANCY FONT BIRTHDAY CARD, ",4958,2101.0099999999998,323,171,15.34984520123839
FANCY FONTS BIRTHDAY WRAP,8600,3430.0,230,177,37.391304347826086
FANNY'S REST STOPMETAL SIGN,508,1217.73,141,67,3.602836879432624
FAUX FUR CHOCOLATE THROW,88,1494.69,49,30,1.7959183673469388
FAWN AND MUSHROOM GREETING CARD,128,62.06,19,8,6.7368421052631575
FAWN BLUE HOT WATER BOTTLE,3313,11466.37,490,253,6.761224489795918
"FEATHER PEN,COAL BLACK",2712,1415.9199999999998,175,71,15.497142857142856
"FEATHER PEN,HOT PINK",3890,2018.78,239,106,16.276150627615063
"FEATHER PEN,LIGHT PINK",2071,1079.34,149,72,13.899328859060402
FELT EGG COSY BLUE RABBIT ,552,577.4399999999999,104,37,5.3076923076923075
FELT EGG COSY CHICKEN,1027,953.8599999999999,137,62,7.4963503649635035
FELT EGG COSY LADYBIRD ,327,196.82,51,14,6.411764705882353
FELT EGG COSY WHITE RABBIT ,585,549.81,107,61,5.4672897196261685
FELT FARM ANIMAL CHICKEN,291,394.15,50,32,5.82
FELT FARM ANIMAL HEN,481,332.84,44,16,10.931818181818182
FELT FARM ANIMAL RABBIT,912,743.89,77,35,11.844155844155845
FELT FARM ANIMAL SHEEP,373,280.42,42,16,8.880952380952381
FELT FARM ANIMAL WHITE BUNNY ,1563,738.68,96,38,16.28125
FELT TOADSTOOL  SMALL,629,602.63,77,33,8.168831168831169
FELT TOADSTOOL LARGE,657,836.8000000000001,61,33,10.770491803278688
FELTCRAFT 6 FLOWER FRIENDS,6078,12373.880000000001,547,337,11.111517367458866
FELTCRAFT BOY JEAN-PAUL KIT,371,1909.51,127,103,2.921259842519685
FELTCRAFT BUTTERFLY HEARTS,6230,8626.939999999999,481,287,12.952182952182952
FELTCRAFT CHRISTMAS FAIRY,1930,7954.0,321,240,6.012461059190031
FELTCRAFT CUSHION BUTTERFLY,2765,10133.33,348,192,7.945402298850575
FELTCRAFT CUSHION OWL,3380,12440.14,470,244,7.191489361702128
FELTCRAFT CUSHION RABBIT,3092,11227.47,386,202,8.010362694300518
FELTCRAFT DOLL EMILY,1347,3974.1300000000006,267,168,5.044943820224719
FELTCRAFT DOLL MARIA,196,564.9200000000001,48,43,4.083333333333333
FELTCRAFT DOLL MOLLY,4514,12016.34,331,211,13.637462235649547
FELTCRAFT DOLL ROSIE,1706,5022.1,301,181,5.667774086378738
FELTCRAFT GIRL AMELIE KIT,1012,5083.89,275,187,3.68
FELTCRAFT GIRL NICOLE KIT,669,3427.3500000000004,182,137,3.6758241758241756
FELTCRAFT HAIRBAND PINK AND BLUE,856,774.55,161,100,5.316770186335404
FELTCRAFT HAIRBAND PINK AND PURPLE,879,794.88,150,94,5.86
FELTCRAFT HAIRBAND RED AND BLUE,921,833.0699999999999,161,103,5.720496894409938
FELTCRAFT HAIRBANDS PINK AND WHITE ,934,873.52,148,85,6.3108108108108105
FELTCRAFT PRINCESS CHARLOTTE DOLL,2375,9264.91,449,275,5.289532293986637
FELTCRAFT PRINCESS LOLA DOLL,2020,7563.08,413,247,4.891041162227603
FELTCRAFT PRINCESS OLIVIA DOLL,1566,5812.72,290,184,5.4
FENG SHUI PILLAR CANDLE,3317,630.23,65,45,51.03076923076923
FILIGREE DIAMANTE CHAIN,1,12.48,1,0,1.0
FILIGREE DIAMANTE EARRINGS,13,55.02,9,2,1.4444444444444444
FILIGREE HEART BIRD WHITE ,1492,1960.0,125,58,11.936
FILIGREE HEART BUTTERFLY WHITE ,1642,2070.06,117,61,14.034188034188034
FILIGREE HEART DAISY WHITE,1247,1596.67,98,56,12.724489795918368
FILIGRIS HEART WITH BUTTERFLY,3906,4851.88,212,120,18.42452830188679
FINE SILVER NECKLACE W PASTEL FLOWE,17,95.35000000000001,7,3,2.4285714285714284
FINE WICKER HEART ,2644,3304.23,237,152,11.156118143459915
FIRE POLISHED GLASS BRACELET BLACK,6,22.48,6,1,1.0
FIRE POLISHED GLASS BRACELET GREEN,21,78.69,9,2,2.3333333333333335
FIRE POLISHED GLASS BRACELET MONTAN,11,41.31,6,1,1.8333333333333333
FIRE POLISHED GLASS BRACELET RED,8,29.96,3,1,2.6666666666666665
FIRE POLISHED GLASS NECKL BRONZE,3,17.85,3,3,1.0
FIRE POLISHED GLASS NECKL GOLD,1,5.95,1,1,1.0
FIRE POLISHED GLASS NECKL GREEN,6,35.160000000000004,6,0,1.0
FIRST AID TIN,1161,3722.23,166,104,6.993975903614458
FIRST CLASS HOLIDAY PURSE ,31,90.42,20,4,1.55
FIRST CLASS LUGGAGE TAG ,152,193.59,49,21,3.1020408163265305
FIRST CLASS PASSPORT COVER ,93,194.94,43,20,2.1627906976744184
FIVE CATS HANGING DECORATION,287,882.6200000000001,89,35,3.2247191011235956
FIVE HEART HANGING DECORATION,462,1541.6200000000001,142,67,3.2535211267605635
FLAG OF ST GEORGE ,23,37.95,7,7,3.2857142857142856
FLAG OF ST GEORGE CAR FLAG,27,12.16,2,1,13.5
FLAG OF ST GEORGE CHAIR,38,185.3,8,6,4.75
FLAMES SUNGLASSES PINK LENSES,52,95.1,8,6,6.5
FLOOR CUSHION ELEPHANT CARNIVAL,69,718.14,35,13,1.9714285714285715
FLOOR LAMP SHADE WOOD BASE,33,312.7,13,6,2.5384615384615383
FLORAL BATHROOM SET,21,78.75,11,9,1.9090909090909092
FLORAL BLUE MONSTER,5,21.25,4,4,1.25
FLORAL FOLK STATIONERY SET,1943,3363.34,425,151,4.5717647058823525
FLORAL PINK MONSTER,43,187.54,16,9,2.6875
FLORAL SOFT CAR TOY,54,230.81,30,10,1.8
FLOWER BLUE CLOCK WITH SUCKER,117,33.93,8,8,14.625
FLOWER BURST SILVER RING CRYSTAL,13,48.71,9,5,1.4444444444444444
FLOWER FAIRY 5 DRAWER LINERS,60,153.0,20,18,3.0
FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.299999999999999,1,1,6.0
FLOWER FAIRY INCENSE BOUQUET,61,32.349999999999994,5,4,12.2
"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75,25,24,4.2
FLOWER GARLAND NECKLACE RED,6,47.7,4,3,1.5
"FLOWER GLASS GARLAND NECKL.36""BLACK",12,95.35000000000001,5,4,2.4
"FLOWER GLASS GARLAND NECKL.36""BLUE",9,71.4,5,2,1.8
"FLOWER GLASS GARLAND NECKL.36""GREEN",4,31.8,2,2,2.0
"FLOWER GLASS GARLD NECKL36""AMETHYST",14,110.95,11,4,1.2727272727272727
"FLOWER GLASS GARLD NECKL36""TURQUOIS",8,64.08,5,1,1.6
FLOWER PURPLE CLOCK W/SUCKER,5,4.25,3,3,1.6666666666666667
FLOWER PURPLE CLOCK WITH SUCKER,16,4.64,3,3,5.333333333333333
FLOWER SHOP DESIGN MUG,1,1.65,1,1,1.0
FLOWER VINE RAFFIA FOOD COVER,383,1477.82,140,77,2.7357142857142858
FLOWERS  STICKERS,257,245.35999999999999,61,21,4.213114754098361
FLOWERS CHANDELIER T-LIGHT HOLDER,963,2898.12,38,32,25.342105263157894
FLOWERS HANDBAG blue and orange,49,61.25,3,3,16.333333333333332
FLOWERS TILE COASTER,992,334.76,39,32,25.435897435897434
FLOWERS TILE HOOK,59,80.16000000000001,13,10,4.538461538461538
FLUTED ANTIQUE CANDLE HOLDER,2809,2643.33,206,100,13.635922330097088
FLYING PIG WATERING CAN,194,469.90000000000003,47,31,4.127659574468085
FOLDING BUTTERFLY MIRROR HOT PINK ,1868,1496.07,152,84,12.289473684210526
FOLDING BUTTERFLY MIRROR IVORY ,794,742.92,133,67,5.969924812030075
FOLDING BUTTERFLY MIRROR RED  ,1262,985.88,99,56,12.747474747474747
FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,3,3,10.0
FOLDING MIRROR HOT PINK ,156,118.91999999999999,5,5,31.2
FOLDING MIRROR IVORY ,18,14.939999999999998,2,2,9.0
FOLDING MIRROR RED  ,18,14.939999999999998,2,2,9.0
FOLDING SHOE TIDY,3,8.850000000000001,2,2,1.5
FOLDING UMBRELLA BLACKBLUE POLKADOT,160,763.6600000000001,74,44,2.1621621621621623
FOLDING UMBRELLA CHOCOLATE POLKADOT,133,607.23,59,30,2.2542372881355934
FOLDING UMBRELLA CREAM POLKADOT,191,868.0600000000001,64,28,2.984375
FOLDING UMBRELLA PINKWHITE POLKADOT,107,501.98,45,29,2.3777777777777778
FOLDING UMBRELLA RED/WHITE POLKADOT,347,1621.76,120,53,2.8916666666666666
FOLDING UMBRELLA WHITE/RED POLKADOT,104,513.02,36,22,2.888888888888889
"FOLK ART GREETING CARD,pack/12",23,67.85000000000001,9,7,2.5555555555555554
FOLK ART METAL HEART T-LIGHT HOLDER,163,82.1,19,14,8.578947368421053
FOLK ART METAL STAR T-LIGHT HOLDER,485,252.33,67,24,7.2388059701492535
FOLK FELT HANGING MULTICOL GARLAND,208,585.86,61,7,3.4098360655737703
FOLKART CHRISTMAS TREE T-LIGHT HOLD,27,10.260000000000002,2,2,13.5
FOLKART CLIP ON STARS,786,405.25,100,34,7.86
FOLKART HEART NAPKIN RINGS,366,551.13,69,22,5.304347826086956
FOLKART STAR CHRISTMAS DECORATIONS,3582,1634.9199999999998,131,81,27.34351145038168
FOLKART ZINC HEART CHRISTMAS DEC,2999,2640.8599999999997,244,116,12.290983606557377
FOLKART ZINC STAR CHRISTMAS DEC,12,10.2,3,3,4.0
FOOD CONTAINER SET 3 LOVE HEART ,2039,3952.19,291,115,7.006872852233677
"FOOD COVER WITH BEADS , SET 2 SIZES",3,11.25,1,1,3.0
FOOD COVER WITH BEADS SET 2 ,1012,3772.88,145,109,6.979310344827586
